title,engine_size,engine_type,total_kms,price,link
BMW 320d,2014,2.0 Diesel,"222,681 km","€9,500",/cars-for-sale/bmw-320d/37282428
Kildare Car Centre,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€18,995",/cars-for-sale/bmw-3-series-2016-m-sport/37233341
BMW 3-Series 2015,2015,2.0 Diesel,"229,000 km","€14,500",/cars-for-sale/bmw-3-series-2015/37492053
BMW 3-Series 2016 REDUCED - QUICK SALE EMIGRATING,2016,2.0 Petrol Plug-in Hybrid,"143,500 km","€14,950",/cars-for-sale/bmw-3-series-2016-reduced-quick-sale-emigrating/37273350
Bmw 3 seires 2015 320d nct 01/25,2015,2.0 Diesel,"160,000 mi","€9,750",/cars-for-sale/bmw-3-seires-2015-320d-nct-01-25/37384002
BMW 330D SHADDOW LINE M SPORT,2016,3.0 Diesel,"153,000 km","€24,500",/cars-for-sale/bmw-330d-shaddow-line-m-sport/37269844
Long Mile Motors Ltd,Independent Dealer,2016,2.0 Diesel,"€16,000",/cars-for-sale/bmw-3-series-2016-automatic/37436853
BMW 3-Series 2016,2016,2.0 Diesel,"110,000 km","€15,500",/cars-for-sale/bmw-3-series-2016/37260656
BMW 320 D,2016,2.0 Diesel,"167,000 mi","€14,500",/cars-for-sale/bmw-320-d/37225916
J.Reynolds Car Sales,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€15,999",/cars-for-sale/bmw-330e-m-sport-m-performance-low-km/36507397
BMW 318 Msport,2016,2.0 Diesel,"90,000 km","€21,000",/cars-for-sale/bmw-318-msport/37251188
BMW 3-Series 2016 Sport,2016,2.0 Diesel,"155,000 km","€15,500",/cars-for-sale/bmw-3-series-2016-sport/37457584
BMW 3-Series 2015 F30 316d SE Saloon … Price Drop!,2015,2.0 Diesel,"182,000 mi","€13,500",/cars-for-sale/bmw-3-series-2015-f30-316d-se-saloon-price-drop/37411201
BMW 3 series f30 318D,2014,2.0 Diesel,"199,000 km","€11,000",/cars-for-sale/bmw-3-series-f30-318d/37454022
*PRICE DROP* BMW 320D 2014 Estate Touring F31,2014,2.0 Diesel,"275,975 km","€7,850",/cars-for-sale/price-drop-bmw-320d-2014-estate-touring-f31/37240478
BMW 3 series,2016,2.0 Diesel,"158,726 km","€14,000",/cars-for-sale/bmw-3-series/37231632
BMW 3-Series 2016,2016,2.0 Diesel,"97,000 km","€14,450",/cars-for-sale/bmw-3-series-2016/37445636
BMW 318d,2014,2.0 Diesel,"187,000 mi","€10,500",/cars-for-sale/bmw-318d/37224889
Car,2015,2.0 Diesel,"105,000 mi","€14,500",/cars-for-sale/car/37224811
BMW 3-Series 2014,2014,2.0 Diesel,"276,000 km","€10,250",/cars-for-sale/bmw-3-series-2014/37223445
BMW 3-Series 2015,2015,2.0 Diesel,"165,000 km","€13,000",/cars-for-sale/bmw-3-series-2015/37427460
BMW 316D SPORT ZLSF 4DR,2016,2.0 Diesel,"88,000 mi","€15,995",/cars-for-sale/bmw-316d-sport-zlsf-4dr/37290220
BMW 330e M Sport,2016,2.0 Petrol Plug-in Hybrid,"191,382 mi","€16,500",/cars-for-sale/bmw-330e-m-sport/37007204
2014 Bmw 330d xdrive f31 Estate Msport Shadow line,2014,3.0 Diesel,"288,000 km","€18,000",/cars-for-sale/2014-bmw-330d-xdrive-f31-estate-msport-shadow-line/36514531
BMW 3-Series 2014,2014,2.0 Diesel,"234,000 km","€11,250",/cars-for-sale/bmw-3-series-2014/37200840
BMW 3-Series 2014,2014,2.0 Diesel,"129,213 mi",No price found,/cars-for-sale/bmw-3-series-2014/37413639
Naas Road Autos,Independent Dealer,2015,2.0 Diesel,"€17,950",/cars-for-sale/bmw-3-series-2-0-d-se-luxury-estate-auto-full/37448876?campaign=3
Jack Martin Motors,Independent Dealer,2015,2.0 Diesel,"€14,450",/cars-for-sale/bmw-3-series-3-series-sport-new-timing-chain-75-p/37334598?campaign=3
